Réponse :;Drapeau
Allemagne;https://cdn.pixabay.com/photo/2015/11/24/16/23/flag-germany-1060305_960_720.jpg
Autriche;https://cdn.pixabay.com/photo/2019/11/06/08/50/austria-4605586_960_720.jpg
Belgique;https://cdn.pixabay.com/photo/2016/01/23/22/16/belgian-flag-1158171_960_720.png
Bulgarie;https://cdn.pixabay.com/photo/2019/11/07/19/01/bulgaria-4609654_960_720.jpg
Chypre;https://cdn.pixabay.com/photo/2015/11/12/16/19/flag-1040560_960_720.png
Croatie;https://cdn.pixabay.com/photo/2016/01/23/22/04/flag-of-croatia-1158161_960_720.png
Danemark;https://cdn.pixabay.com/photo/2015/11/12/16/23/flag-1040577_960_720.png
Espagne;https://cdn.pixabay.com/photo/2016/04/29/17/09/flag-1361373_960_720.jpg
Estonie;https://cdn.pixabay.com/photo/2015/11/12/16/24/flag-1040595_960_720.png
Finlande;https://cdn.pixabay.com/photo/2015/11/12/16/24/flag-1040601_960_720.png
France;https://cdn.pixabay.com/photo/2021/06/06/04/00/flag-6314238_960_720.jpg
Grèce;https://cdn.pixabay.com/photo/2012/04/10/23/09/greece-26871_960_720.png
Hongrie;https://cdn.pixabay.com/photo/2013/07/13/14/15/hungary-162317_960_720.png
Irlande;https://cdn.pixabay.com/photo/2013/07/13/14/15/ireland-162323_960_720.png
Italie;https://cdn.pixabay.com/photo/2016/06/16/01/18/italy-1460295_960_720.jpg
Lettonie;https://cdn.pixabay.com/photo/2013/07/13/14/16/latvia-162338_960_720.png
Lituanie;https://cdn.pixabay.com/photo/2013/07/13/14/16/lithuania-162344_960_720.png
Luxembourg;https://cdn.pixabay.com/photo/2013/07/13/14/16/luxembourg-162345_960_720.png
Malte;https://cdn.pixabay.com/photo/2013/07/13/14/16/malta-162354_960_720.png
Pays-Bas;https://cdn.pixabay.com/photo/2016/06/16/00/21/holland-1460230_960_720.jpg
Pologne;https://cdn.pixabay.com/photo/2012/04/10/16/15/poland-26125_960_720.png
Portugal;https://cdn.pixabay.com/photo/2013/07/13/14/16/portugal-162394_960_720.png
République Tchèque;https://cdn.pixabay.com/photo/2019/11/20/10/05/czech-republic-4639697_960_720.jpg
Roumanie;https://cdn.pixabay.com/photo/2013/07/13/14/17/romania-162399__340.png
Slovaquie;https://cdn.pixabay.com/photo/2013/07/13/14/17/slovakia-162421_960_720.png
Slovénie;https://cdn.pixabay.com/photo/2013/07/13/14/17/slovenia-162422_960_720.png
Suède;https://cdn.pixabay.com/photo/2013/07/12/19/14/sweden-154401_960_720.png
